,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp (F),Wind Speed (mph)
0,US,1561659510,1,29,39.31,-74.98,93.0,11.41
1,RU,1561659510,0,57,70.62,147.9,45.85,11.14
2,EC,1561659494,20,69,-0.74,-90.35,78.8,20.8
3,CA,1561659554,75,86,69.44,-133.03,41.0,3.36
4,CN,1561659570,100,49,39.63,118.17,76.99,6.13
5,BR,1561659570,47,60,-2.92,-39.92,87.25,10.2
6,NA,1561659570,0,69,-18.06,13.84,55.21,4.03
7,PF,1561659506,90,82,-23.12,-134.97,74.65,19.17
8,AU,1561659523,33,84,-23.58,149.07,58.09,18.1
9,CA,1561659571,75,62,60.82,-115.79,51.8,5.82
10,KZ,1561659571,0,83,49.68,83.3,58.99,3.13
11,TZ,1561659572,75,77,-3.37,36.69,69.8,7.94
12,US,1561659512,1,31,43.97,-111.68,73.99,12.75
13,CA,1561659299,75,53,49.72,-86.95,71.6,8.05
14,SA,1561659507,98,33,21.43,39.83,92.29,8.05
15,AU,1561659514,48,98,-33.64,115.35,44.01,26.19
16,DZ,1561659559,0,4,27.87,-0.29,114.8,8.05
17,BR,1561659521,64,80,-5.2,-35.46,80.59,24.07
18,VG,1561659335,40,66,18.42,-64.62,87.8,10.29
19,US,1561659499,90,83,19.71,-155.08,80.01,8.05
20,AR,1561659310,40,74,-54.81,-68.31,30.2,24.16
21,CL,1561659217,75,86,-42.48,-73.76,41.0,10.29
22,CA,1561659573,90,93,50.7,-127.42,53.6,8.05
23,CL,1561659293,20,58,-53.16,-70.91,32.0,16.11
24,US,1561659493,20,69,20.89,-156.47,80.6,4.7
25,SB,1561659561,100,86,-10.46,161.92,78.61,11.9
26,CN,1561659574,100,99,46.32,132.2,57.91,6.24
27,RU,1561659307,100,94,64.42,-173.23,47.29,4.18
28,CL,1561659574,20,67,-29.95,-71.34,57.2,9.17
29,NZ,1561659492,91,94,-46.19,168.86,40.09,5.17
30,US,1561659492,0,54,37.17,-99.65,91.0,15.99
31,MR,1561659518,0,57,20.93,-17.03,77.0,21.92
32,ZA,1561659513,0,50,-33.59,26.89,62.01,5.99
33,MX,1561659417,40,43,22.89,-109.91,96.01,11.41
34,RU,1561659575,40,70,69.2,33.45,48.2,4.47
35,ZA,1561659497,12,55,-34.42,19.24,60.01,8.99
36,CA,1561659489,1,57,45.36,-73.48,84.99,19.46
37,AR,1561659315,14,45,-42.77,-65.04,52.87,10.36
38,IN,1561659519,100,79,11.67,92.75,83.83,23.29
39,GL,1561659576,93,96,60.14,-45.24,39.37,6.98
40,KZ,1561659576,72,19,43.35,52.85,80.59,15.95
41,CO,1561659122,20,31,1.17,-76.88,78.8,13.87
42,CA,1561659576,1,38,49.79,-92.84,75.2,9.17
43,ZA,1561659495,0,67,-33.02,27.91,62.6,5.82
44,GF,1561659577,40,74,4.94,-52.33,86.0,6.93
45,ID,1561659577,30,83,-5.67,132.75,78.07,18.12
46,AU,1561659276,40,93,-33.86,121.89,48.2,14.99
47,CA,1561659577,90,82,50.03,-66.88,59.0,16.11
48,US,1561659494,1,83,22.08,-159.32,80.6,12.75
49,GR,1561659578,20,28,39.42,22.43,86.0,3.29
50,ZA,1561659507,0,21,-34.0,24.73,57.55,7.72
51,CA,1561659461,75,68,54.13,-108.44,66.2,5.82
52,US,1561659507,40,17,40.04,-111.73,82.99,12.75
53,CK,1561659492,97,78,-21.21,-159.78,71.6,6.93
54,US,1561659532,2,43,39.1,-76.85,93.99,4.7
55,AR,1561659579,20,58,-51.62,-69.22,32.0,17.22
56,AR,1561659244,86,38,-46.43,-67.52,35.95,13.27
57,CA,1561659527,75,45,55.74,-97.86,64.4,5.82
58,JP,1561659580,75,88,35.03,136.69,75.99,4.7
59,QA,1561659477,0,63,25.29,51.53,98.6,4.7
60,AR,1561659552,100,47,-38.31,-60.23,53.77,18.03
61,PF,1561659580,75,74,-17.73,-149.15,78.8,10.29
62,NG,1561659581,0,38,12.59,6.58,91.75,3.15
63,ZA,1561659524,0,22,-30.97,22.13,55.57,20.33
64,CA,1561659581,40,44,65.28,-126.83,60.8,10.29
65,AU,1561659582,72,62,-20.73,139.49,57.2,5.82
66,GL,1561659527,90,93,65.61,-37.64,44.6,4.7
67,BR,1561659493,15,45,-20.63,-46.0,76.81,7.9
68,AR,1561659582,0,59,-29.14,-59.64,63.31,10.94
69,GY,1561659582,42,85,8.2,-59.78,82.21,4.88
70,AU,1561659310,0,68,-33.21,138.6,55.93,12.73
71,BG,1561659583,20,69,41.53,24.68,86.0,5.82
72,NA,1561659301,0,81,-26.65,15.16,53.6,4.7
73,NO,1561659508,75,90,78.22,15.63,39.2,13.87
74,US,1561659583,75,59,30.04,-94.42,93.0,4.32
75,ML,1561659583,67,47,11.42,-7.49,91.57,7.81
76,CN,1561659584,100,83,47.51,122.88,55.39,12.5
77,NA,1561659502,0,82,-22.12,14.28,57.99,1.01
78,RU,1561659301,99,48,68.75,161.3,51.61,10.98
79,BR,1561659584,34,54,-3.15,-58.36,89.23,5.73
80,NO,1561659584,41,93,61.57,11.04,55.99,5.75
81,US,1561659585,20,59,40.6,-124.16,66.99,6.93
82,ET,1561659529,74,85,8.96,38.73,59.17,4.07
83,RU,1561659585,90,77,59.7,30.79,63.0,6.71
84,US,1561659467,40,35,42.65,-73.75,86.0,12.75
85,RU,1561659586,1,69,62.22,135.8,55.03,2.46
86,ID,1561659586,21,96,-7.61,109.46,67.81,1.05
87,CN,1561659586,0,79,23.11,113.84,87.01,6.71
88,PF,1561659586,75,74,-17.57,-149.87,78.8,10.29
89,TL,1561659587,19,79,-8.93,125.41,64.39,6.29
90,RU,1561659587,100,96,63.93,31.65,51.43,4.9
91,US,1561659587,75,93,41.28,-70.1,81.0,8.05
92,JP,1561659588,100,86,43.32,145.57,48.37,7.34
93,VU,1561659531,90,94,-19.55,169.27,73.4,4.74
94,TC,1561659398,100,77,21.46,-71.14,82.75,17.45
95,CM,1561659588,86,65,10.11,14.45,78.61,1.9
96,NC,1561659588,100,88,-21.35,165.16,70.51,22.03
97,PF,1561659306,15,74,-9.8,-139.03,80.77,17.38
98,RU,1561659589,100,99,53.87,39.17,64.0,1.99
99,NG,1561659589,37,91,7.44,8.9,76.63,7.36
100,ZA,1561659229,75,71,-33.93,18.42,60.01,27.51
101,RU,1561659236,100,40,71.98,102.47,58.45,14.47
102,GB,1561659293,0,56,53.41,-2.98,77.0,11.41
103,AU,1561659488,0,62,-42.88,147.33,57.0,9.17
104,PH,1561659590,96,84,8.0,124.29,77.0,7.0
105,JP,1561659590,100,98,33.72,135.99,66.91,2.86
106,CA,1561659590,20,71,63.75,-68.52,51.8,6.93
107,CA,1561659491,75,67,60.72,-135.06,64.99,5.82
108,NG,1561659590,96,90,9.67,8.4,72.67,3.18
109,US,1561659591,1,12,39.95,-105.17,91.0,4.7
110,PG,1561659591,100,74,-2.57,150.8,84.55,17.72
111,SA,1561659591,0,15,26.33,43.97,100.4,5.82
112,KZ,1561659592,0,35,44.86,78.76,66.91,5.75
