,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp (F),Wind Speed (mph)
215,GL,1561659304,100,48,77.48,-69.36,42.61,4.36
216,AU,1561659618,0,100,-34.67,150.86,54.0,6.93
217,NO,1561659619,0,76,59.79,5.78,60.01,18.34
218,CA,1561659619,1,44,48.61,-93.4,81.0,5.82
219,RU,1561659619,85,65,66.83,70.83,49.27,5.57
220,ZA,1561659619,15,84,-31.68,18.49,56.47,22.7
221,AU,1561659620,57,59,-34.72,135.86,62.59,28.03
222,JP,1561659620,100,96,40.21,140.05,61.51,3.13
223,PL,1561659620,75,64,51.15,21.97,73.99,16.11
224,BF,1561659621,96,27,12.34,-0.67,98.41,10.6
225,CA,1561659621,0,54,51.95,-103.8,70.33,4.41
226,RU,1561659621,82,82,59.36,143.24,55.39,12.91
227,CU,1561659622,75,62,20.35,-76.78,87.8,14.99
228,CO,1561659622,48,31,3.75,-74.93,94.99,6.87
229,RU,1561659623,95,75,64.27,100.22,62.77,5.01
230,PG,1561659623,58,96,-10.62,150.67,73.93,4.41
231,EG,1561659623,0,78,31.35,27.25,80.6,11.41
232,BR,1561659364,90,73,-9.67,-35.74,77.0,13.87
233,RU,1561659502,92,79,71.64,128.87,45.85,11.83
234,AU,1561659624,100,93,-18.65,146.16,64.21,1.3
235,RU,1561659624,100,97,69.38,178.42,33.61,1.34
236,MX,1561659625,40,62,21.23,-86.73,89.6,14.99
237,UY,1561659488,18,58,-33.69,-53.46,55.21,8.84
238,US,1561659556,40,31,29.56,-104.41,91.4,5.82
239,AR,1561659626,81,39,-40.81,-62.99,61.87,20.89
240,PT,1561659627,20,63,37.73,-25.67,66.2,8.05
241,EG,1561659628,0,9,24.09,32.9,107.6,10.29
242,US,1561659628,75,87,46.98,-123.82,62.6,5.82
243,IR,1561659628,20,83,36.66,51.42,80.6,4.7
244,ID,1561659629,29,87,4.36,96.17,73.93,2.46
245,MX,1561659629,40,74,16.86,-99.88,87.8,6.93
246,RU,1561659511,100,82,69.7,170.27,35.05,20.85
247,NZ,1561659629,84,77,-46.13,167.69,51.79,18.68
248,MU,1561659557,75,73,-20.34,57.76,73.4,11.41
249,US,1561659630,40,40,28.15,-82.76,95.0,4.7
250,PG,1561659630,77,88,-3.66,152.44,77.89,13.29
251,MG,1561659631,0,74,-20.3,44.28,77.89,13.65
252,US,1561659631,40,48,39.62,-77.74,93.0,3.36
253,MN,1561659631,66,63,50.73,92.07,49.09,3.83
254,RU,1561659632,43,76,63.19,64.42,49.81,3.0
255,RU,1561659632,73,92,53.98,79.24,55.75,11.36
256,RU,1561659632,89,95,51.68,102.13,37.57,4.88
257,NZ,1561659511,100,74,-45.87,170.5,45.0,4.0
258,RU,1561659633,28,83,59.7,150.17,46.21,1.14
259,FI,1561659633,0,62,62.89,27.68,57.2,12.75
260,NG,1561659633,37,91,7.38,8.57,76.63,7.36
261,MX,1561659518,75,28,28.39,-105.62,88.0,5.82
262,KZ,1561659550,63,57,49.15,56.49,64.57,7.38
263,CA,1561659634,75,44,48.39,-77.24,77.0,10.29
264,NO,1561659634,40,70,68.56,14.91,50.0,21.92
265,RU,1561659527,100,94,50.68,156.12,40.63,8.05
266,US,1561659635,17,54,31.44,-87.99,91.99,4.0
267,IE,1561659635,0,37,54.11,-9.15,75.99,17.22
268,GB,1561659635,40,72,52.61,1.73,63.0,13.87
269,MK,1561659519,40,60,41.28,20.71,75.2,2.24
270,ES,1561659635,0,36,37.47,-4.43,96.8,11.41
271,CA,1561659547,20,50,66.15,-65.72,48.2,19.46
272,MG,1561659496,7,83,-14.27,50.17,68.89,3.58
273,CA,1561659518,97,87,48.65,-53.11,48.99,3.0
274,RU,1561659531,91,54,61.28,108.01,62.59,1.97
275,RU,1561659636,90,87,43.36,132.19,55.4,4.47
276,AR,1561659632,22,27,-33.3,-66.34,62.05,8.93
277,MU,1561659637,75,73,-19.98,57.61,73.4,11.41
278,RU,1561659637,50,81,59.08,159.95,48.37,1.77
279,MX,1561659637,2,84,27.97,-114.04,64.21,10.71
280,US,1561659638,90,51,32.0,-102.08,87.8,12.75
281,KI,1561659309,44,76,3.07,172.79,83.29,12.95
282,CL,1561659229,20,64,-45.58,-72.07,41.0,2.33
283,ES,1561659347,0,26,37.23,-3.66,96.8,11.41
284,CA,1561659305,20,41,62.45,-114.38,59.0,13.87
285,BR,1561659639,100,54,-3.7,-45.5,87.79,5.73
286,BR,1561659604,37,48,-20.28,-45.54,76.81,7.09
287,CN,1561659639,23,21,40.29,97.04,68.71,6.96
288,IR,1561659437,21,50,27.15,57.07,95.0,2.24
289,CA,1561659516,75,70,70.47,-68.59,44.6,16.11
290,JP,1561659640,100,96,38.13,140.3,71.01,2.93
291,PE,1561659640,52,84,-17.03,-72.02,62.23,11.07
292,US,1561659464,75,100,21.35,-158.09,82.0,18.84
293,NO,1561659641,75,87,67.67,12.69,46.4,14.99
294,CN,1561659641,20,78,30.43,103.62,77.0,2.24
295,BR,1561659642,1,31,-14.4,-56.44,91.57,8.32
296,GL,1561659553,89,81,72.79,-56.15,33.61,5.7
